iter	Passed	Remaining
470	671	754
471	672	752
472	673	750
473	673	747
474	674	745
475	675	743
476	676	741
477	677	739
478	677	737
479	678	735
480	679	733
481	680	730
482	680	728
483	681	726
484	682	724
485	683	722
486	684	720
487	685	718
488	685	716
489	686	714
490	687	713
491	688	711
492	689	709
493	690	707
494	691	705
495	692	703
496	692	701
497	693	699
498	694	697
499	695	695
500	696	693
501	697	691
502	698	689
503	699	687
504	699	685
505	700	684
506	701	682
507	702	680
508	703	678
509	704	676
510	705	674
511	705	672
512	706	670
513	707	668
514	708	666
515	708	664
516	709	662
517	710	660
518	711	659
519	712	657
520	713	656
521	714	654
522	715	652
523	716	650
524	717	648
525	717	646
526	718	644
527	719	643
528	720	641
529	721	639
530	722	637
531	723	636
532	724	634
533	725	632
534	726	631
535	727	629
536	728	627
537	728	625
538	729	624
539	730	622
540	731	620
541	732	619
542	733	617
543	734	615
544	735	613
545	735	611
546	736	610
547	737	608
548	739	607
549	740	606
550	741	604
551	742	602
552	743	601
553	744	599
554	746	598
555	747	597
556	748	595
557	749	594
558	751	592
559	752	590
560	752	589
561	753	587
562	754	585
563	755	583
564	756	582
565	756	580
566	758	579
567	759	577
568	760	576
569	761	574
570	763	573
571	764	571
572	764	570
573	765	568
574	766	566
575	767	564
576	768	563
577	769	561
578	769	559
579	770	558
580	771	556
581	772	554
582	773	553
583	774	551
584	776	550
585	777	549
586	778	547
587	778	545
588	779	544
589	780	542
590	781	540
591	782	539
592	783	537
593	783	535
594	784	534
595	785	532
596	786	530
597	787	529
598	788	527
599	789	526
600	790	524
601	791	523
602	792	521
603	793	520
604	794	518
605	795	517
606	796	515
607	797	513
608	797	512
609	798	510
610	799	508
611	800	507
612	801	505
613	801	504
614	802	502
615	803	501
616	804	499
617	805	498
618	806	496
619	807	495
620	808	493
621	809	491
622	809	490
623	810	488
624	811	486
625	812	485
626	812	483
627	813	481
628	814	480
629	815	479
630	816	477
631	817	476
632	818	474
633	819	473
634	820	471
635	821	470
636	822	468
637	823	467
638	824	465
639	825	464
640	825	462
641	826	460
642	827	459
643	828	457
644	828	456
645	829	454
646	830	452
647	831	451
648	832	450
649	833	448
650	834	447
651	835	445
652	836	444
653	837	442
654	838	441
655	839	440
656	840	438
657	840	437
658	841	435
659	842	434
660	843	432
661	844	430
662	844	429
663	845	427
664	846	426
665	846	424
666	847	423
667	848	421
668	849	420
669	850	418
670	851	417
671	852	415
672	853	414
673	853	413
674	854	411
675	855	410
676	856	408
677	857	407
678	858	406
679	859	404
680	860	403
681	861	401
682	862	400
683	863	398
684	864	397
685	865	396
686	867	395
687	869	394
688	870	392
689	871	391
690	872	389
691	872	388
692	873	386
693	874	385
694	875	384
695	876	382
696	876	381
697	877	379
698	878	378
699	879	376
700	880	375
701	881	374
702	882	372
703	883	371
704	884	370
705	885	368
706	886	367
707	887	365
708	887	364
709	888	363
710	889	361
711	890	360
712	893	359
713	894	358
714	895	356
715	896	355
716	897	354
717	898	352
718	899	351
719	899	349
720	900	348
721	901	347
722	902	345
723	903	344
724	905	343
725	906	342
726	907	340
727	908	339
728	909	337
729	910	336
730	911	335
731	912	334
732	913	332
733	914	331
734	915	330
735	916	328
736	917	327
737	918	326
738	919	324
739	920	323
740	921	322
741	922	320
742	923	319
743	924	317
744	924	316
745	925	315
746	926	313
747	927	312
748	929	311
749	930	310
750	931	308
751	932	307
752	933	306
753	933	304
754	934	303
755	935	301
756	936	300
757	937	299
758	938	297
759	939	296
760	940	295
761	941	293
762	942	292
763	943	291
764	944	290
765	945	288
766	946	287
767	947	286
768	948	285
769	950	283
770	951	282
771	952	281
772	953	279
773	953	278
774	954	277
775	955	275
776	956	274
777	957	273
778	958	271
779	959	270
780	960	269
781	961	268
782	962	266
783	963	265
784	965	264
785	966	263
786	966	261
787	967	260
788	968	258
789	969	257
790	970	256
791	971	255
792	972	253
793	972	252
794	973	251
795	974	249
796	975	248
797	976	247
798	977	245
799	978	244
800	979	243
801	980	242
802	981	240
803	982	239
804	982	238
805	983	236
806	984	235
807	985	234
808	986	232
809	987	231
810	988	230
811	989	229
812	990	227
813	990	226
814	991	225
815	993	223
816	994	222
817	994	221
818	995	220
819	996	218
820	997	217
821	998	216
822	999	214
823	1000	213
824	1001	212
825	1002	211
826	1003	209
827	1004	208
828	1005	207
829	1007	206
830	1008	205
831	1009	203
832	1010	202
833	1012	201
834	1013	200
835	1014	199
836	1016	197
837	1017	196
838	1018	195
839	1019	194
840	1020	192
841	1021	191
842	1022	190
843	1023	189
844	1026	188
845	1027	186
846	1028	185
847	1029	184
848	1030	183
849	1031	182
850	1033	180
851	1034	179
852	1035	178
853	1035	177
854	1036	175
855	1038	174
856	1039	173
857	1040	172
858	1042	171
859	1043	169
860	1046	168
861	1047	167
862	1048	166
863	1050	165
864	1051	164
865	1052	162
866	1053	161
867	1054	160
868	1054	159
869	1055	157
870	1056	156
871	1057	155
872	1058	153
873	1059	152
874	1060	151
875	1061	150
876	1062	149
877	1063	147
878	1064	146
879	1065	145
880	1066	144
881	1068	142
882	1069	141
883	1070	140
884	1070	139
885	1071	137
886	1072	136
887	1073	135
888	1074	134
889	1074	132
890	1075	131
891	1076	130
892	1077	129
893	1078	127
894	1079	126
895	1080	125
896	1081	124
897	1083	123
898	1084	121
899	1085	120
900	1085	119
901	1086	118
902	1087	116
903	1088	115
904	1090	114
905	1090	113
906	1091	111
907	1092	110
908	1093	109
909	1095	108
910	1096	107
911	1097	105
912	1098	104
913	1099	103
914	1100	102
915	1101	101
916	1102	99
917	1103	98
918	1104	97
919	1105	96
920	1106	94
921	1107	93
922	1108	92
923	1109	91
924	1110	90
925	1111	88
926	1112	87
927	1113	86
928	1114	85
929	1115	83
930	1116	82
931	1117	81
932	1118	80
933	1119	79
934	1120	77
935	1121	76
936	1122	75
937	1123	74
938	1124	73
939	1125	71
940	1127	70
941	1128	69
942	1129	68
943	1129	67
944	1130	65
945	1131	64
946	1132	63
947	1132	62
948	1133	60
949	1134	59
950	1135	58
951	1136	57
952	1136	56
953	1137	54
954	1138	53
955	1139	52
956	1140	51
957	1141	50
958	1142	48
959	1143	47
960	1144	46
961	1145	45
962	1146	44
963	1147	42
964	1148	41
965	1149	40
966	1149	39
967	1150	38
968	1151	36
969	1152	35
970	1153	34
971	1154	33
972	1155	32
973	1156	30
974	1157	29
975	1158	28
976	1158	27
977	1159	26
